,product_name,product_link,ingredient_name
439,KP Original Salted Peanuts,https://groceries.asda.com/product/salted-roasted-flavoured-nuts/kp-original-salted-peanuts/1000020329479,Salt
440,KTC Chick Peas in Salted Water,https://groceries.asda.com/product/indian-asian-cooking-ingredients/ktc-chick-peas-in-salted-water/29659390,Salt
441,La Drogheria Pink Himalayan Salt Mill 90g,https://groceries.asda.com/product/salt-pepper/la-drogheria-pink-himalayan-salt-mill-90-g/1000383226515,Salt
442,COOK by ASDA Ground Black Pepper,https://groceries.asda.com/product/salt-pepper/cook-by-asda-ground-black-pepper/414488,Salt
443,Saxa Ground White Pepper,https://groceries.asda.com/product/salt-pepper/saxa-ground-white-pepper/1696956,Salt
444,COOK by ASDA Whole Black Peppercorn Grinder,https://groceries.asda.com/product/salt-pepper/cook-by-asda-whole-black-peppercorn-grinder/57704791,Salt
445,George Home Salt and Pepper Set,https://groceries.asda.com/product/serveware-tableware/george-home-salt-and-pepper-set/1000383170295,Salt
446,KP Original Salted Peanuts,https://groceries.asda.com/product/salted-roasted-flavoured-nuts/kp-original-salted-peanuts/1000020329376,Salt
447,JUST ESSENTIALS by ASDA Lightly Salted Sharing Tortilla Chips,https://groceries.asda.com/product/tortilla-chips-dips/just-essentials-by-asda-lightly-salted-sharing-tortilla-chips/1000003092813,Salt
448,Lajkonik Paluszki - Salted Sticks,https://groceries.asda.com/product/eastern-european-snacks-drinks/lajkonik-paluszki-salted-sticks/910000028677,Salt
449,Kerrygold Salted Butter,https://groceries.asda.com/product/block-butter/kerrygold-salted-butter/20533,Salt
450,COOK by ASDA Whole Black Peppercorns,https://groceries.asda.com/product/salt-pepper/cook-by-asda-whole-black-peppercorns/910002369433,Salt
451,Lajkonik Salted Pretzels,https://groceries.asda.com/product/eastern-european-snacks-drinks/lajkonik-salted-pretzels/910000290533,Salt
452,Radox Mineral Therapy Muscle Soak Bath Salts,https://groceries.asda.com/product/bath-salts-bombs-scrubs/radox-mineral-therapy-muscle-soak-bath-salts/36846,Salt
453,Westlab Pure Mineral Bathing Dead Sea Salt,https://groceries.asda.com/product/bath-salts-bombs-scrubs/westlab-pure-mineral-bathing-dead-sea-salt/910002001033,Salt
454,ASDA Roasted & Salted Pistachios in Shell,https://groceries.asda.com/product/raw-nuts-seeds/asda-roasted-salted-pistachios-in-shell/1000373536034,Salt
455,Walkers Ready Salted Multipack Crisps,https://groceries.asda.com/product/small-multipack-crisps-4-8-packs/walkers-ready-salted-multipack-crisps/910001788991,Salt
456,ASDA Roasted & Salted Cashews 200g,https://groceries.asda.com/product/salted-roasted-flavoured-nuts/asda-roasted-salted-cashews-200-g/1000003092607,Salt
457,Lurpak Slightly Salted Butter,https://groceries.asda.com/product/block-butter/lurpak-slightly-salted-butter/1000383181136,Salt
